Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001095,1,0,0,0,0,8.06054004653864,0.0,4.30406509320417,360.0,1.0,2,0
LP001097,1,0,1,0,1,8.453614209773367,0.0,4.663439094112067,360.0,1.0,0,0
LP001098,1,1,0,0,0,8.160518247477505,7.418780882750794,4.736198448394496,360.0,1.0,1,1
LP001100,1,0,3,0,0,9.433483923290392,8.006367567650246,5.768320995793772,360.0,1.0,0,0
LP001106,1,1,0,0,0,7.729735331385051,7.633853559681768,4.852030263919617,360.0,1.0,2,1
LP001109,1,1,0,0,0,7.510977752014095,7.1929342212158,4.605170185988092,360.0,0.0,2,0
LP001112,0,1,0,0,0,8.207129168071326,7.285506548522785,4.969813299576001,360.0,1.0,1,1
LP001114,1,0,0,0,0,8.334711621820917,8.883224230278994,5.214935757608986,360.0,1.0,2,1
LP001116,1,0,0,1,0,8.228977643358313,7.419380582918692,4.700480365792417,360.0,1.0,1,1
LP001119,1,0,0,0,0,8.1886891244442,0.0,4.382026634673881,360.0,1.0,2,0
LP001120,1,0,0,0,0,7.495541943884256,7.10085190894405,3.8501476017100584,360.0,1.0,2,1
LP001123,1,1,0,0,0,7.783224016336037,0.0,4.31748811353631,360.0,1.0,2,1
LP001131,1,1,0,0,0,8.279189777195004,7.756195343948118,4.897839799950911,360.0,1.0,1,1
LP001136,1,1,0,1,1,8.454253391642363,0.0,4.564348191467836,360.0,1.0,2,1
LP001137,0,0,0,0,0,8.134467570277563,0.0,4.477336814478207,360.0,1.0,2,1
LP001138,1,1,1,0,0,8.639233817325263,0.0,3.784189633918261,360.0,1.0,2,1
LP001144,1,1,0,0,0,8.669227347271736,0.0,4.969813299576001,360.0,1.0,2,1
LP001146,0,1,0,0,0,7.8804263442924,8.143226750367445,4.787491742782046,360.0,0.0,2,0
LP001151,0,0,0,0,0,8.294049640102028,7.729735331385051,4.969813299576001,360.0,1.0,1,1
LP001155,0,1,0,1,0,7.564238475170491,7.404887575616125,4.605170185988092,360.0,1.0,1,1
LP001157,0,0,0,0,0,8.034631032923107,0.0,4.787491742782046,360.0,1.0,1,1
LP001164,0,0,0,0,0,8.349957272040324,0.0,4.718498871295094,360.0,1.0,1,0
LP001179,1,1,2,0,0,8.437283808187935,0.0,4.897839799950911,360.0,1.0,2,0
LP001186,0,1,1,0,1,9.350102314351341,0.0,5.655991810819852,360.0,0.0,2,0
LP001194,1,1,2,0,0,7.903965634032166,7.062191632286556,4.574710978503383,360.0,1.0,1,1
LP001195,1,1,0,0,0,7.664815785285735,7.372118028337787,4.564348191467836,360.0,1.0,1,1
LP001197,1,1,0,0,0,8.121480374750751,7.696212639346407,4.90527477843843,360.0,1.0,0,0
LP001198,1,1,1,0,0,8.997147151515142,7.718685495198466,5.19295685089021,360.0,1.0,2,1
LP001199,1,1,2,1,0,8.118802996980035,7.958227192322312,4.969813299576001,360.0,1.0,2,1
LP001205,1,1,0,0,0,7.824046010856292,8.241703159729818,4.787491742782046,360.0,1.0,2,1
LP001206,1,1,3,0,0,8.015987811027237,0.0,4.59511985013459,360.0,1.0,2,1
LP001207,1,1,0,1,1,7.866722285136729,8.145839612936841,5.10594547390058,180.0,0.0,0,0
LP001213,1,1,1,0,0,8.506132244056813,0.0,4.852030263919617,360.0,0.0,0,0
LP001222,0,0,0,0,0,8.334711621820917,0.0,4.7535901911063645,360.0,0.0,1,0
LP001225,1,1,0,0,0,8.65277248565806,8.432724034789787,5.552959584921617,360.0,1.0,1,0
LP001228,1,0,0,1,0,8.070906088787819,7.720461694599722,4.836281906951478,180.0,0.0,2,0
LP001233,1,1,1,0,0,9.28266103355581,0.0,5.7430031878094825,360.0,1.0,2,1
LP001238,1,1,3,1,1,8.867850063029406,0.0,4.8283137373023015,60.0,1.0,2,1
LP001241,0,0,0,0,0,8.366370301681654,0.0,4.912654885736052,360.0,0.0,1,0
LP001243,1,1,0,0,0,8.073402968986406,8.028129059431759,5.147494476813453,360.0,1.0,2,1
LP001245,1,1,2,1,1,7.536363938404511,7.536363938404511,4.574710978503383,360.0,1.0,1,1
LP001248,1,0,0,0,0,8.160518247477505,0.0,4.394449154672439,300.0,1.0,1,1
LP001250,1,1,3,1,0,8.46695197497949,0.0,4.553876891600541,360.0,0.0,1,0
LP001253,1,1,3,0,1,8.569026340056254,7.480992162869525,5.231108616854587,360.0,1.0,1,1
LP001255,1,0,0,0,0,8.229511118964457,0.0,4.727387818712341,480.0,1.0,2,0
LP001256,1,0,0,0,0,8.229511118964457,8.465899897028686,5.170483995038151,360.0,1.0,2,0
LP001259,1,1,1,0,1,6.907755278982137,8.013674142832684,4.700480365792417,360.0,1.0,2,0
LP001263,1,1,3,0,0,8.06054004653864,8.294049640102028,5.19295685089021,300.0,0.0,1,0
LP001264,1,1,3,1,1,8.11162807830774,7.680637427560936,4.867534450455582,360.0,1.0,1,1
LP001265,0,0,0,0,0,8.254788926148725,0.0,4.709530201312334,360.0,1.0,1,1
LP001266,1,1,1,0,1,7.781138509845015,0.0,4.852030263919617,360.0,1.0,1,1
LP001267,0,1,2,0,0,7.228388451573604,7.53955882930103,5.117993812416755,360.0,1.0,2,0
LP001273,1,1,0,0,0,8.699514748210191,7.718685495198466,5.579729825986222,360.0,1.0,1,0
LP001275,1,1,1,0,0,8.291045131081729,0.0,3.912023005428146,240.0,1.0,2,1
LP001279,1,0,0,0,0,7.768956044538332,7.836369760545124,4.912654885736052,360.0,1.0,1,1
LP001280,1,1,2,1,0,8.11162807830774,7.600902459542082,4.59511985013459,360.0,1.0,1,1
LP001282,1,1,0,0,0,7.824046010856292,7.658227526161352,4.6443908991413725,360.0,1.0,1,1
LP001289,1,0,0,0,0,9.055556158175316,0.0,5.3471075307174685,360.0,1.0,2,1
LP001310,1,1,0,0,0,8.647343875881283,8.334951631422454,5.1647859739235145,360.0,1.0,1,1
LP001316,1,1,0,0,0,7.992268643270745,7.9724660159745655,4.875197323201151,360.0,1.0,1,1
LP001318,1,1,2,0,0,8.740336742730447,8.640118538253535,5.236441962829949,180.0,1.0,1,1
LP001319,1,1,2,1,0,8.09346227450118,7.506591780070841,4.394449154672439,360.0,1.0,2,1
LP001322,1,0,0,0,0,8.326758814511733,0.0,4.804021044733257,360.0,1.0,1,1
LP001325,1,0,0,1,0,8.194229304819817,0.0,3.2188758248682006,120.0,1.0,1,1
LP001326,1,0,0,0,0,8.822027322685583,0.0,4.852030263919617,360.0,1.0,2,0
LP001327,0,1,0,0,0,7.81762544305337,7.741533589281828,4.919980925828125,360.0,1.0,1,1
LP001333,1,1,0,0,0,7.589335823170617,6.904750769961838,3.912023005428146,360.0,1.0,1,1
LP001334,1,1,0,1,0,8.339978571990427,0.0,4.74493212836325,180.0,1.0,1,1
LP001343,1,1,0,0,0,7.472500744737558,8.172164452111904,4.875197323201151,360.0,1.0,1,1
LP001345,1,1,2,1,0,8.363575702750637,8.09040229659332,4.890349128221754,180.0,1.0,2,1
LP001349,1,0,0,0,0,8.48528964240323,8.244334047856094,5.017279836814924,360.0,1.0,1,1
LP001350,1,1,0,0,0,9.521494800613105,0.0,4.852030263919617,360.0,1.0,2,1
LP001356,1,1,0,0,0,8.445052513638554,8.183955717304954,4.852030263919617,360.0,1.0,1,1
LP001357,1,1,0,0,0,8.246958032568177,6.625392368007956,5.075173815233827,360.0,1.0,2,1
LP001367,1,1,1,0,0,8.023552392404348,6.937314081223682,4.605170185988092,360.0,1.0,2,1
LP001369,1,1,2,0,0,9.342858751676328,7.026426808699636,5.41610040220442,360.0,1.0,2,1
LP001370,1,0,0,1,0,8.9001399880938,0.0,4.787491742782046,360.0,1.0,0,0
LP001379,1,1,2,0,0,8.242756345714477,8.1886891244442,5.375278407684165,360.0,0.0,2,0
LP001384,1,1,3,1,0,7.635786861395585,6.625392368007956,4.543294782270004,480.0,1.0,1,1
LP001385,1,0,0,0,0,8.578476419833136,0.0,4.912654885736052,360.0,1.0,2,1
LP001387,0,1,0,0,0,7.982416346827733,7.75491027202143,4.9344739331306915,360.0,1.0,1,1
LP001391,1,1,0,1,0,8.18088094199639,8.322151070212902,5.0238805208462765,360.0,0.0,0,0
LP001392,0,0,1,0,1,8.916103530553727,0.0,4.852030263919617,360.0,1.0,1,1
LP001398,1,0,0,0,0,8.527143522269405,0.0,4.770684624465665,360.0,1.0,1,1
LP001401,1,1,1,0,0,9.587611745713565,0.0,5.220355825078324,180.0,1.0,0,1
LP001404,0,1,0,0,0,8.06054004653864,7.733245646529795,5.0369526024136295,360.0,1.0,1,1
LP001405,1,1,1,0,0,7.7025561132685825,7.242797922793756,4.442651256490317,360.0,1.0,2,1
LP001421,1,1,0,0,0,8.624791202014256,7.669495251007694,5.1647859739235145,360.0,1.0,0,0
LP001422,0,0,0,0,0,9.250330020192342,0.0,5.556828061699537,360.0,1.0,2,1
LP001426,1,1,0,0,0,8.64241515616962,7.888709524182015,5.19295685089021,360.0,1.0,0,1
LP001430,0,0,0,0,0,8.334711621820917,0.0,3.784189633918261,360.0,1.0,1,1
LP001431,0,0,0,0,0,7.667158255319148,9.102755161296246,4.919980925828125,360.0,0.0,1,1
LP001432,1,1,2,0,0,7.9919305198524775,0.0,4.394449154672439,360.0,1.0,1,1
LP001439,1,1,0,1,0,8.366370301681654,7.607878073278507,5.267858159063328,360.0,1.0,0,1
LP001443,0,0,0,0,0,8.213923595622743,0.0,4.532599493153256,360.0,1.0,0,1
LP001448,1,1,3,0,0,10.077566902136047,0.0,5.91350300563827,360.0,1.0,0,1
LP001449,1,0,0,0,0,8.259716961021523,7.402451520818244,4.852030263919617,360.0,1.0,0,1
LP001451,1,1,1,0,1,9.26036786557583,8.25582842728183,5.075173815233827,180.0,0.0,2,0
LP001465,1,1,0,0,0,8.712759974960212,7.851271997109883,5.204006687076795,360.0,1.0,0,0
LP001469,1,0,0,0,1,9.91175329695316,0.0,6.476972362889683,480.0,1.0,2,1
LP001473,1,0,0,0,0,7.607878073278507,7.564757012905729,4.30406509320417,360.0,1.0,2,1
LP001478,1,0,0,0,0,7.907651594711089,0.0,4.248495242049359,360.0,1.0,1,1
LP001482,1,1,0,0,1,8.148734808937169,0.0,3.2188758248682006,120.0,1.0,1,1
LP001487,1,0,0,0,0,8.49596955496461,0.0,4.624972813284271,360.0,1.0,1,1
LP001488,1,1,3,0,0,8.294049640102028,8.955448122347393,5.66988092298052,360.0,1.0,1,0
LP001489,0,1,0,0,0,8.430109084509125,0.0,4.430816798843313,360.0,1.0,0,0
LP001491,1,1,2,0,1,8.106514516255185,8.160518247477505,4.477336814478207,360.0,1.0,2,1
LP001492,1,0,0,0,0,9.61573881119536,0.0,5.488937726156687,360.0,0.0,1,0
LP001493,1,1,2,1,0,8.34283980427146,7.265429723253953,4.859812404361672,360.0,1.0,0,0
LP001497,1,1,2,0,0,8.525558107747866,7.641564441260972,5.220355825078324,360.0,1.0,0,0
LP001498,1,0,0,0,0,8.597297435657898,0.0,5.123963979403259,360.0,1.0,2,1
LP001504,1,0,0,0,1,8.846496938558838,0.0,5.1647859739235145,180.0,1.0,1,1
LP001507,1,1,0,0,0,7.900266036767701,7.617759576608505,4.804021044733257,360.0,1.0,1,1
LP001508,1,1,2,0,0,9.372204086867741,0.0,5.231108616854587,180.0,1.0,2,1
LP001514,0,1,0,0,0,7.753623546559746,8.408716715080153,4.605170185988092,360.0,1.0,1,1
LP001516,0,1,2,0,0,9.60683200528524,0.0,4.248495242049359,360.0,1.0,2,1
LP001518,1,1,1,0,0,7.338238150065589,7.261927092702751,3.4011973816621555,360.0,1.0,2,1
LP001519,0,0,0,0,0,9.210340371976184,7.418180822726788,5.41610040220442,360.0,1.0,0,0
LP001520,1,1,0,0,0,8.48879371689454,6.721425700790643,4.8283137373023015,360.0,1.0,1,1
LP001528,1,0,0,0,0,8.744647438317532,0.0,4.770684624465665,360.0,0.0,0,0
LP001529,1,1,0,0,1,7.854381210652365,8.229511118964457,5.0238805208462765,360.0,1.0,0,1
LP001531,1,0,0,0,0,9.123256265069069,0.0,5.497168225293202,360.0,1.0,2,0
LP001532,1,1,2,1,0,7.732369222284388,0.0,4.727387818712341,360.0,1.0,0,0
LP001535,1,0,0,0,0,8.087640287778983,0.0,3.912023005428146,360.0,1.0,2,1
LP001536,1,1,3,0,0,10.596609732783568,0.0,6.396929655216146,180.0,0.0,1,1
LP001541,1,1,1,0,0,8.699514748210191,0.0,5.075173815233827,360.0,1.0,0,1
LP001543,1,1,1,0,0,9.16303909885817,0.0,5.231108616854587,360.0,1.0,2,1
LP001546,1,0,0,0,0,7.9996785794994505,7.641564441260972,4.787491742782046,360.0,1.0,0,1
LP001552,1,1,0,0,0,8.430109084509125,8.63497622707262,5.541263545158426,360.0,1.0,1,1
LP001560,1,1,0,1,0,7.529943370601589,6.947937068614969,4.584967478670572,360.0,1.0,1,1
LP001562,1,1,0,0,0,8.978786553302003,0.0,5.616771097666572,360.0,1.0,2,0
LP001565,1,1,1,0,0,8.035602692918582,7.154615356913663,4.795790545596741,360.0,0.0,1,0
LP001570,1,1,2,0,0,8.334951631422454,7.277247726631484,5.062595033026967,360.0,1.0,0,1
LP001572,1,1,0,0,0,9.140239744296693,0.0,4.31748811353631,180.0,1.0,2,1
LP001574,1,1,0,0,0,8.217978203150732,8.060224240440958,5.204006687076795,360.0,1.0,0,1
LP001577,0,1,0,0,0,8.430109084509125,0.0,4.718498871295094,360.0,1.0,0,0
LP001578,1,1,0,0,0,7.79934339821592,8.11162807830774,4.859812404361672,360.0,1.0,0,1
LP001579,1,0,0,0,0,7.71289096149013,0.0,4.143134726391533,480.0,0.0,1,0
LP001580,1,1,2,0,0,8.987196820661973,0.0,5.298317366548036,360.0,1.0,1,1
LP001581,1,1,0,1,0,7.506591780070841,7.478169694159785,4.553876891600541,360.0,1.0,0,1
LP001585,1,1,3,0,0,10.854430887309706,0.0,6.551080335043404,300.0,1.0,2,1
LP001586,1,1,3,1,0,8.166784289056151,0.0,4.394449154672439,180.0,1.0,0,0
LP001594,1,1,0,0,0,8.649623978596727,8.63497622707262,5.231108616854587,360.0,1.0,1,1
LP001603,1,1,0,1,1,8.37655086161377,6.601230118728877,4.465908118654584,360.0,1.0,1,0
LP001606,1,1,0,0,0,8.159660737063376,7.582738488914411,4.7535901911063645,360.0,1.0,0,1
LP001608,1,1,2,0,0,7.623153068476902,7.389563953677635,4.61512051684126,360.0,1.0,0,1
LP001610,1,1,3,0,0,8.615408238913192,9.332558004700433,6.20455776256869,360.0,0.0,1,0
LP001616,1,1,1,0,0,8.229511118964457,0.0,4.7535901911063645,360.0,1.0,1,1
LP001630,1,0,0,1,0,7.75491027202143,7.280008252884188,4.624972813284271,480.0,0.0,2,0
LP001633,1,1,1,0,0,8.764053269347762,8.88875674784872,5.19295685089021,360.0,0.0,2,0
LP001634,1,0,0,0,0,7.557994958530806,8.529714471969909,4.204692619390966,360.0,1.0,0,0
LP001636,1,1,0,0,0,8.433811582477187,0.0,4.290459441148391,180.0,1.0,1,1
LP001637,1,1,1,0,0,10.429576102968031,0.0,5.560681631015528,360.0,1.0,1,0
LP001639,0,1,0,0,0,8.195609567288775,0.0,4.68213122712422,360.0,1.0,1,1
LP001640,1,1,0,0,1,10.575079070130357,8.465899897028686,4.787491742782046,360.0,1.0,1,1
LP001641,1,1,1,0,1,7.686162303492906,0.0,4.189654742026425,300.0,0.0,0,0
LP001643,1,1,0,0,0,7.776115477098742,7.6676260915849905,4.060443010546419,360.0,1.0,0,1
LP001644,1,1,0,0,1,6.513230110912307,8.574707097616844,5.123963979403259,360.0,1.0,0,1
LP001647,1,1,0,0,0,9.140775908590273,0.0,5.236441962829949,180.0,1.0,0,1
LP001653,1,0,0,1,0,8.493924564476883,0.0,3.871201010907891,360.0,1.0,0,1
LP001656,1,0,0,0,0,9.392661928770137,0.0,5.099866427824199,360.0,1.0,1,0
LP001657,1,1,0,1,0,8.704999678440762,0.0,5.075173815233827,360.0,1.0,2,0
LP001658,1,0,0,0,0,8.257904193465674,0.0,4.330733340286331,360.0,1.0,1,1
LP001664,1,0,0,0,0,8.340694647925071,0.0,4.787491742782046,360.0,1.0,0,1
LP001665,1,1,1,0,0,8.047189562170502,7.8567067930958405,5.135798437050262,360.0,1.0,1,0
LP001666,1,0,0,0,0,9.027978814382207,8.229511118964457,5.231108616854587,360.0,1.0,0,1
LP001669,0,0,0,1,0,7.553286605600419,7.768533300926033,4.787491742782046,360.0,1.0,2,1
LP001671,0,1,0,0,0,8.13622555490846,7.943072717277933,4.727387818712341,360.0,1.0,1,1
LP001673,1,0,0,0,1,9.305650551780507,0.0,4.418840607796598,360.0,1.0,2,0
LP001674,1,1,1,1,0,7.8632667240095735,7.824046010856292,4.499809670330265,360.0,1.0,1,1
LP001677,1,0,2,0,0,8.5016733797582,0.0,5.111987788356544,360.0,0.0,1,1
LP001682,1,1,3,1,0,8.292047637431354,0.0,4.852030263919617,180.0,1.0,2,0
LP001688,1,1,1,1,0,8.160518247477505,6.9874902470009905,4.90527477843843,360.0,1.0,2,1
LP001691,1,1,2,1,0,8.27308133366583,0.0,4.820281565605037,360.0,1.0,1,1
LP001692,0,0,0,1,0,8.391176350832751,0.0,4.787491742782046,360.0,1.0,1,1
LP001693,0,0,0,0,0,8.084562415235304,0.0,4.382026634673881,360.0,1.0,2,1
LP001698,1,0,0,1,0,8.287780027088433,7.836369760545124,4.007333185232471,360.0,1.0,0,1
LP001699,1,0,0,0,0,7.8156105320351905,0.0,4.07753744390572,360.0,1.0,2,1
LP001702,1,0,0,0,0,8.136810863675537,0.0,4.844187086458591,360.0,1.0,1,0
LP001708,0,0,0,0,0,9.210340371976184,0.0,5.365976015021851,360.0,1.0,1,0
LP001711,1,1,3,0,0,8.140315540159985,7.1308988302963465,4.852030263919617,360.0,0.0,1,0
LP001713,1,1,1,0,1,8.960210955576986,0.0,5.480638923341991,360.0,1.0,2,1
LP001715,1,1,3,1,1,8.648747631156539,0.0,4.867534450455582,360.0,1.0,0,1
LP001716,1,1,0,0,0,8.062432791583195,8.013343181386672,4.919980925828125,360.0,1.0,2,1
LP001720,1,1,3,1,0,8.25582842728183,6.890609120147166,4.605170185988092,360.0,1.0,1,1
LP001722,1,1,0,0,0,5.0106352940962555,7.495541943884256,4.90527477843843,360.0,1.0,0,0
LP001726,1,1,0,0,0,8.223358899479258,7.4815557019095165,4.875197323201151,360.0,1.0,1,1
LP001732,1,1,2,0,0,8.517193191416238,0.0,4.276666119016055,360.0,0.0,1,0
LP001734,0,1,2,0,0,8.36240897761537,7.776115477098742,4.844187086458591,360.0,1.0,1,1
LP001736,1,1,0,0,0,7.7057128238944275,0.0,4.0943445622221,360.0,0.0,2,0
LP001743,1,1,2,0,0,8.296297112642508,7.448333860897476,4.7535901911063645,360.0,1.0,1,1
LP001744,1,0,0,0,0,7.9966538754626075,7.934155233536322,4.969813299576001,360.0,1.0,1,1
LP001749,1,1,0,0,0,8.933004591578547,6.917705609835305,5.1647859739235145,360.0,1.0,1,1
LP001750,1,1,0,0,0,8.740336742730447,0.0,4.852030263919617,360.0,1.0,1,1
LP001751,1,1,0,0,0,8.086410275323782,0.0,5.135798437050262,360.0,1.0,0,0
LP001754,1,1,0,1,1,8.462737005620179,0.0,4.927253685157205,360.0,1.0,2,0
LP001758,1,1,2,0,0,8.740336742730447,7.43543801981455,5.3471075307174685,360.0,1.0,1,1
LP001760,1,1,0,0,0,8.467582690862903,0.0,5.062595033026967,480.0,1.0,1,1
LP001761,1,0,0,0,1,8.764053269347762,0.0,5.298317366548036,360.0,1.0,0,1
LP001765,1,1,1,0,0,7.820439515262181,7.627544390488503,4.6443908991413725,360.0,1.0,1,1
LP001768,1,1,0,0,0,8.22040309993373,0.0,3.7376696182833684,180.0,1.0,0,1
LP001770,1,0,0,1,0,8.067462667010057,7.862497197230545,4.787491742782046,360.0,1.0,0,1
LP001776,0,0,0,0,0,9.027978814382207,0.0,5.634789603169249,360.0,1.0,1,1
LP001778,1,1,1,0,0,8.056743774975313,7.483806687665835,4.941642422609304,360.0,1.0,1,1
LP001784,1,1,1,0,0,8.612503371220562,7.138866999945524,5.135798437050262,360.0,1.0,0,1
LP001786,1,1,0,0,0,8.656259239539235,0.0,5.541263545158426,360.0,1.0,2,0
LP001788,0,0,0,0,1,8.149890544402423,0.0,4.804021044733257,360.0,1.0,2,1
LP001790,0,0,1,0,0,8.245909264774093,0.0,4.718498871295094,360.0,1.0,0,1
LP001792,1,1,1,0,0,8.106212902619962,0.0,4.564348191467836,360.0,1.0,1,1
LP001798,1,1,2,0,0,8.66888370465667,8.517193191416238,4.787491742782046,360.0,1.0,0,1
LP001800,1,1,1,1,0,7.828038032125829,7.592366128519796,4.941642422609304,180.0,1.0,2,0
LP001806,1,0,0,0,0,7.994632311431825,8.648396877031582,5.043425116919247,60.0,1.0,2,1
LP001807,1,1,2,0,1,8.740336742730447,7.170119543449628,4.68213122712422,360.0,1.0,0,1
LP001811,1,1,0,1,0,8.133293861222633,8.393216011596527,4.812184355372417,360.0,1.0,1,1
LP001813,1,0,0,0,1,8.707813551024888,8.374015421739909,4.787491742782046,180.0,1.0,2,0
LP001814,1,1,2,0,0,9.1801903950253,0.0,4.718498871295094,360.0,1.0,2,1
LP001819,1,1,1,1,0,8.796036315200814,0.0,4.919980925828125,180.0,1.0,2,1
LP001824,1,1,1,0,0,7.966239776559467,7.519149957669823,4.812184355372417,480.0,1.0,1,1
LP001825,1,1,0,0,0,7.500529485395295,7.532623618788788,4.499809670330265,360.0,1.0,2,1
LP001835,1,1,0,1,0,7.419380582918692,8.266164436612492,5.303304908059076,360.0,0.0,1,0
LP001836,0,0,2,0,0,8.139440521874608,0.0,4.927253685157205,360.0,1.0,2,0
LP001841,1,0,0,1,1,7.8567067930958405,7.681099001536359,4.6443908991413725,360.0,1.0,0,1
LP001843,1,1,1,1,0,7.886457270977689,8.867990898182093,5.631211781821365,180.0,1.0,1,1
LP001844,1,0,0,0,1,9.695848187757884,0.0,5.2574953720277815,360.0,0.0,2,0
LP001846,0,0,3,0,0,8.03365842788615,0.0,5.541263545158426,360.0,1.0,0,1
LP001849,1,0,0,1,0,8.706986763048892,0.0,4.74493212836325,360.0,0.0,0,0
LP001854,1,1,3,0,0,8.565983355585669,0.0,4.543294782270004,360.0,1.0,2,0
LP001859,1,1,0,0,0,9.594445640962938,7.649692623711514,5.717027701406222,360.0,1.0,0,0
LP001864,1,1,3,1,0,8.503297086224126,0.0,4.852030263919617,360.0,1.0,1,0
LP001865,1,1,1,0,0,8.713253274320705,8.354674261918463,5.799092654460526,360.0,1.0,2,1
LP001868,1,0,0,0,0,7.630461261783627,7.700295203420117,4.897839799950911,360.0,1.0,1,1
LP001870,0,0,1,0,0,8.15507488781144,0.0,5.043425116919247,36.0,1.0,1,0
LP001871,0,0,0,0,0,8.881836305004146,0.0,4.787491742782046,360.0,1.0,0,1
LP001872,1,0,0,0,1,8.549853973655786,0.0,4.852030263919617,360.0,1.0,1,1
LP001875,1,0,0,0,0,8.31752199628717,8.145259566516865,5.017279836814924,360.0,1.0,0,1
LP001877,1,1,2,0,0,8.457018468380168,7.234898420314831,5.0106352940962555,360.0,1.0,1,1
LP001882,1,1,3,0,0,8.374015421739909,7.501634457883413,5.075173815233827,360.0,0.0,2,1
LP001883,0,0,0,0,0,8.136810863675537,0.0,4.90527477843843,360.0,1.0,0,0
LP001884,0,0,1,0,0,7.964155718840937,7.352441100243583,4.499809670330265,360.0,1.0,2,1
LP001888,0,0,0,0,0,8.082402253926244,0.0,3.4011973816621555,360.0,1.0,2,1
LP001891,1,1,0,0,0,9.318835968129482,0.0,4.912654885736052,360.0,1.0,2,1
LP001892,1,0,0,0,0,7.949091499830517,7.526717561352706,4.836281906951478,360.0,1.0,0,1
LP001894,1,1,0,0,0,7.8709295967551425,7.706612913964197,5.0106352940962555,360.0,1.0,1,1
LP001896,1,1,2,0,0,8.268731832117737,0.0,4.499809670330265,360.0,1.0,1,1
LP001900,1,1,1,0,0,7.919356190660617,7.518607216815252,4.74493212836325,360.0,1.0,1,1
LP001903,1,1,0,0,0,8.292298107063221,8.09376775793108,5.332718793265369,360.0,1.0,1,1
LP001904,1,1,0,0,0,8.04012466444838,7.170119543449628,4.382026634673881,360.0,1.0,2,1
LP001907,1,1,0,0,0,9.587611745713565,0.0,6.077642243349034,360.0,1.0,1,1
LP001908,0,1,0,1,0,8.318742252692399,0.0,4.820281565605037,360.0,1.0,0,1
